Date : 2025-10-14 17:49:17
Directory : /Users/lucaswhelan/CareCompanion
Total : 146 files,  37996 codes, 1215 comments, 3108 blanks, all 42319 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/Onboarding.tsx                                                                | TypeScript JSX     |        372 |          7 |         22 |        401 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/PatientPortal.tsx                                                             | TypeScript JSX     |        617 |         23 |         64 |        704 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/Patients.tsx                                                                  | TypeScript JSX     |         15 |          0 |          1 |         16 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/SignIn.tsx                                                                    | TypeScript JSX     |        102 |          6 |          7 |        115 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/pages/SignUp.tsx                                                                    | TypeScript JSX     |        126 |          8 |         10 |        144 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/providers/ApiProvider.tsx                                                           | TypeScript JSX     |         61 |          4 |         11 |         76 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/styles/globals.css                                                                  | PostCSS            |        115 |          4 |         26 |        145 |
| /Users/lucaswhelan/CareCompanion/apps/web/src/types/clerk.d.ts                                                                    | TypeScript         |         10 |          0 |          1 |         11 |
| /Users/lucaswhelan/CareCompanion/apps/web/tailwind.config.js                                                                      | JavaScript         |         76 |          1 |          0 |         77 |
| /Users/lucaswhelan/CareCompanion/apps/web/tsconfig.json                                                                           | JSON with Comments |         28 |          3 |          3 |         34 |
| /Users/lucaswhelan/CareCompanion/apps/web/tsconfig.tsbuildinfo                                                                    | JSON               |          1 |          0 |          0 |          1 |
| /Users/lucaswhelan/CareCompanion/apps/web/vite.config.ts                                                                          | TypeScript         |         20 |          0 |          1 |         21 |
| /Users/lucaswhelan/CareCompanion/design/UI_Design.md                                                                              | Markdown           |        748 |          2 |        104 |        854 |
| /Users/lucaswhelan/CareCompanion/design/mockups/dashboard.html                                                                    | HTML               |        692 |          9 |         94 |        795 |
| /Users/lucaswhelan/CareCompanion/docker-compose.yml                                                                               | YAML               |         48 |          0 |          3 |         51 |
| /Users/lucaswhelan/CareCompanion/package-lock.json                                                                                | JSON               |     15,917 |          0 |          1 |     15,918 |
| /Users/lucaswhelan/CareCompanion/package.json                                                                                     | JSON               |         51 |          0 |          1 |         52 |
| /Users/lucaswhelan/CareCompanion/packages/database/package.json                                                                   | JSON               |         26 |          0 |          1 |         27 |
| /Users/lucaswhelan/CareCompanion/packages/database/prisma/migrate-clerk-ids.ts                                                    | TypeScript         |         54 |          6 |         15 |         75 |
| /Users/lucaswhelan/CareCompanion/packages/database/prisma/migrations/20250726232206_initial_schema/migration.sql                  | MS SQL             |        237 |         75 |         89 |        401 |
| /Users/lucaswhelan/CareCompanion/packages/database/prisma/migrations/20250727165753_add_recurrence_to_care_tasks/migration.sql    | MS SQL             |          6 |          3 |          3 |         12 |
| /Users/lucaswhelan/CareCompanion/packages/database/prisma/migrations/20250727184116_add_reminder_date_to_tasks/migration.sql      | MS SQL             |          1 |          1 |          1 |          3 |
| /Users/lucaswhelan/CareCompanion/packages/database/prisma/migrations/20251014001653_add_patient_checklist/migration.sql           | MS SQL             |         27 |          8 |         10 |         45 |
| /Users/lucaswhelan/CareCompanion/packages/database/prisma/migrations/20251014004524_add_scheduled_time_to_checklist/migration.sql | MS SQL             |          1 |          1 |          1 |          3 |
| /Users/lucaswhelan/CareCompanion/packages/database/src/client.js                                                                  | JavaScript         |         10 |          1 |          0 |         11 |
| /Users/lucaswhelan/CareCompanion/packages/database/src/client.ts                                                                  | TypeScript         |         10 |          0 |          3 |         13 |
| /Users/lucaswhelan/CareCompanion/packages/database/src/index.js                                                                   | JavaScript         |         22 |          1 |          0 |         23 |
| /Users/lucaswhelan/CareCompanion/packages/database/src/index.ts                                                                   | TypeScript         |         28 |          1 |          1 |         30 |
| /Users/lucaswhelan/CareCompanion/packages/shared/package.json                                                                     | JSON               |         19 |          0 |          0 |         19 |
| /Users/lucaswhelan/CareCompanion/packages/shared/src/constants/index.ts                                                           | TypeScript         |         61 |         12 |         10 |         83 |
| /Users/lucaswhelan/CareCompanion/packages/shared/src/index.ts                                                                     | TypeScript         |          4 |          0 |          0 |          4 |
| /Users/lucaswhelan/CareCompanion/packages/shared/src/types/errors.ts                                                              | TypeScript         |         19 |          3 |          2 |         24 |
| /Users/lucaswhelan/CareCompanion/packages/shared/src/types/index.ts                                                               | TypeScript         |         88 |          6 |          9 |        103 |
| /Users/lucaswhelan/CareCompanion/packages/shared/src/utils/date.ts                                                                | TypeScript         |         61 |          0 |         10 |         71 |
| /Users/lucaswhelan/CareCompanion/packages/shared/src/utils/format.ts                                                              | TypeScript         |         46 |          0 |         11 |         57 |
| /Users/lucaswhelan/CareCompanion/packages/shared/src/utils/index.ts                                                               | TypeScript         |          3 |          0 |          0 |          3 |
| /Users/lucaswhelan/CareCompanion/packages/shared/src/utils/privacy.ts                                                             | TypeScript         |         73 |         15 |         20 |        108 |
| /Users/lucaswhelan/CareCompanion/packages/shared/src/validation/index.ts                                                          | TypeScript         |         96 |         11 |         17 |        124 |
| /Users/lucaswhelan/CareCompanion/packages/shared/tsconfig.json                                                                    | JSON with Comments |         15 |          0 |          0 |         15 |
| /Users/lucaswhelan/CareCompanion/scripts/README.md                                                                                | Markdown           |         84 |          0 |         27 |        111 |
| /Users/lucaswhelan/CareCompanion/scripts/check-user.ts                                                                            | TypeScript         |         64 |          3 |         14 |         81 |
| /Users/lucaswhelan/CareCompanion/scripts/cleanup-seed.ts                                                                          | TypeScript         |         59 |          3 |         12 |         74 |
| /Users/lucaswhelan/CareCompanion/scripts/cleanup-user.ts                                                                          | TypeScript         |         81 |         13 |         21 |        115 |
| /Users/lucaswhelan/CareCompanion/scripts/fix-add-patient-memberships.ts                                                           | TypeScript         |         26 |          0 |          4 |         30 |
| /Users/lucaswhelan/CareCompanion/scripts/fix-user-type.ts                                                                         | TypeScript         |         66 |          4 |         14 |         84 |
| /Users/lucaswhelan/CareCompanion/scripts/init-localstack.sh                                                                       | Shell Script       |         60 |          9 |         12 |         81 |
| /Users/lucaswhelan/CareCompanion/scripts/migrate-to-public-schema.sql                                                             | MS SQL             |         53 |          9 |          9 |         71 |
| /Users/lucaswhelan/CareCompanion/scripts/run-seed.ts                                                                              | TypeScript         |         10 |          0 |          3 |         13 |
| /Users/lucaswhelan/CareCompanion/scripts/seed-munson-family.ts                                                                    | TypeScript         |        663 |         40 |         72 |        775 |
| /Users/lucaswhelan/CareCompanion/scripts/setup-db.sh                                                                              | Shell Script       |         77 |         10 |         16 |        103 |
| /Users/lucaswhelan/CareCompanion/scripts/start-full.sh                                                                            | Shell Script       |         98 |         13 |         15 |        126 |
| /Users/lucaswhelan/CareCompanion/scripts/start.sh                                                                                 | Shell Script       |         26 |          7 |          9 |         42 |
| /Users/lucaswhelan/CareCompanion/scripts/test-db.js                                                                               | JavaScript         |         26 |          3 |          7 |         36 |
| /Users/lucaswhelan/CareCompanion/scripts/test-setup.js                                                                            | JavaScript         |         58 |          5 |          8 |         71 |
| /Users/lucaswhelan/CareCompanion/tsconfig.json                                                                                    | JSON with Comments |         24 |          0 |          0 |         24 |
| /Users/lucaswhelan/CareCompanion/turbo.json                                                                                       | JSON               |         33 |          0 |          0 |         33 |
| Total                                                                                                                             |                    |     37,996 |      1,215 |      3,108 |     42,319 |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
